given_name,family_name,gender,birth_date,country_of_origin,destination_country,destination_city,port_of_entry,visa_category,arrival_date,reason_for_migration,status_at_5_years,naturalization_date,asylum_related
Camila,Perez,Male,1993-02-12,Romania,Australia,Adelaide,Melbourne Airport,Work,2015-06-13,Family Reunification,Citizen,2027-01-28,FALSE
Elena,Kim,Male,1960-04-02,Indonesia,Germany,Dusseldorf,MUC,Skilled Worker,2006-06-03,Climate/Disaster,Departed,,FALSE
Isabella,Novak,Female,1973-04-18,Turkey,United States,Atlanta,DFW,Diversity,2025-03-05,Work,Permanent Resident,,FALSE
Priya,Rossi,Male,1986-07-27,Argentina,France,Lille,CDG,Diversity,2010-03-31,Study,Temporary Resident,,FALSE
Fatima,Ali,Female,1979-12-06,Malaysia,United States,Houston,DFW,Work,2008-07-31,Persecution,Temporary Resident,,TRUE
Camila,Ibrahim,Female,1980-06-13,Germany,France,Marseille,Nice Côte d'Azur,Work,2019-05-20,Persecution,Temporary Resident,,TRUE
Lucas,Rossi,Female,1996-01-25,India,Australia,Newcastle,Adelaide Airport,Skilled Worker,2016-04-26,Persecution,Temporary Resident,,TRUE
Ibrahim,Williams,Male,1970-07-28,Morocco,Germany,Bremen,DUS,Humanitarian,2017-07-15,Family Reunification,Permanent Resident,,FALSE
Noah,Rossi,Male,1985-06-09,Italy,Sweden,Jonkoping,Gothenburg Landvetter,Work,2014-04-26,Work,Permanent Resident,,FALSE
Noah,Davis,Male,1981-01-03,Dominican Republic,Italy,Bologna,Bologna Guglielmo Marconi,Work,2003-01-07,Persecution,Temporary Resident,,TRUE
Anita,Sanchez,Female,1989-07-05,El Salvador,Italy,Bologna,Fiumicino,Family,2011-09-23,Study,Permanent Resident,,FALSE
Hiro,Johnson,Male,1964-09-09,Egypt,Australia,Brisbane,Adelaide Airport,Refugee,2010-06-16,Work,Departed,,TRUE
Igor,Garcia,Female,1980-02-03,Algeria,United Kingdom,Edinburgh,Heathrow,Diversity,2004-05-18,Persecution,Departed,,TRUE
Anita,Gonzalez,Female,1999-11-21,Mexico,Netherlands,Groningen,Rotterdam The Hague,Work,2023-07-17,Family Reunification,Permanent Resident,,FALSE
Wei,Moretti,Male,1980-11-22,Thailand,United Kingdom,London,Edinburgh Airport,Student,2008-06-19,Work,Citizen,2013-09-27,FALSE
Hassan,Novak,Male,2000-09-14,Italy,Netherlands,Eindhoven,Rotterdam The Hague,Family,2020-10-11,Family Reunification,Citizen,2028-02-16,FALSE
Maria,Hassan,Prefer not to say,1990-06-17,Nepal,Sweden,Stockholm,Malmo Airport,Student,2016-04-30,Persecution,Permanent Resident,,TRUE
Anita,Brown,Female,1961-07-24,Greece,France,Montpellier,Lyon–Saint-Exupéry,Family,2012-06-04,Study,Temporary Resident,,FALSE
Anna,Yamada,Female,1970-12-12,France,United Kingdom,Cardiff,Heathrow,Family,2003-10-23,Work,Citizen,2013-03-21,FALSE
Diego,Chen,Female,1982-01-05,Kenya,United Kingdom,Liverpool,Gatwick,Skilled Worker,2015-12-05,Study,Temporary Resident,,FALSE
Maria,Davis,Female,2007-07-08,Spain,Canada,Vancouver,Ottawa Intl,Student,2025-09-09,Family Reunification,Citizen,2034-12-08,FALSE
Fatima,Park,Male,1959-07-09,Romania,Australia,Hobart,Adelaide Airport,Student,2001-02-24,Conflict/War,Permanent Resident,,TRUE
Mohamed,Costa,Male,1995-07-27,Ireland,Australia,Hobart,Adelaide Airport,Family,2015-07-04,Economic Opportunity,Temporary Resident,,FALSE
Emma,Nowak,Female,1973-02-06,Greece,Canada,Mississauga,Vancouver Intl,Family,2009-09-14,Work,Permanent Resident,,FALSE
Hassan,Rossi,Male,2000-11-11,Cuba,United States,Los Angeles,ORD,Diversity,2025-06-29,Work,Permanent Resident,,FALSE
Raj,Kim,Female,2000-06-02,China,Netherlands,Groningen,Eindhoven Airport,Work,2021-11-05,Conflict/War,Temporary Resident,,TRUE
Jin,Bauer,Female,1981-06-10,Taiwan,Sweden,Malmo,Gothenburg Landvetter,Refugee,2014-07-28,Work,Permanent Resident,,TRUE
Nina,Abdul,Female,1995-02-02,Kenya,France,Montpellier,Orly,Refugee,2014-06-29,Family Reunification,Permanent Resident,,TRUE
Ethan,Jones,Male,1994-02-18,Kenya,Spain,Bilbao,Madrid–Barajas,Family,2016-05-06,Family Reunification,Permanent Resident,,FALSE
Isabella,Sanchez,Male,2005-02-03,United Kingdom,United Kingdom,London,Gatwick,Refugee,2025-03-09,Family Reunification,Citizen,2033-03-25,TRUE
Wei,Ivanov,Male,2006-05-12,Morocco,Germany,Dusseldorf,HAM,Family,2025-06-17,Work,Permanent Resident,,FALSE
Akira,Moretti,Female,1983-11-22,France,Spain,Malaga,Valencia Airport,Humanitarian,2008-12-19,Work,Citizen,2012-02-02,FALSE
Omar,Li,Female,1990-09-21,Japan,Sweden,Uppsala,Arlanda,Skilled Worker,2014-03-26,Climate/Disaster,Temporary Resident,,FALSE
Fatima,Singh,Male,1994-05-05,China,Italy,Naples,Malpensa,Family,2022-01-29,Study,Citizen,2029-04-30,FALSE
Yuki,Smith,Female,1996-03-18,Japan,United Kingdom,Glasgow,Edinburgh Airport,Student,2019-11-29,Work,Temporary Resident,,FALSE
Camila,Chen,Female,1977-02-27,Taiwan,Canada,Toronto,Calgary Intl,Family,2021-05-07,Persecution,Undocumented,,TRUE
Aria,Silva,Male,1953-09-16,Indonesia,United Kingdom,Birmingham,Edinburgh Airport,Asylum,2013-04-08,Family Reunification,Undocumented,,TRUE
Amina,Lopez,Male,1953-11-12,Colombia,Sweden,Linkoping,Gothenburg Landvetter,Student,2008-04-02,Work,Temporary Resident,,FALSE
Raj,Brown,Male,1999-07-17,United Kingdom,Italy,Catania,Bologna Guglielmo Marconi,Humanitarian,2025-07-03,Family Reunification,Citizen,2036-03-06,FALSE
Ava,Silva,Male,1987-08-16,Philippines,United States,Houston,IAD,Work,2019-12-18,Study,Temporary Resident,,FALSE
Yuki,Kim,Male,1980-08-26,Algeria,Sweden,Uppsala,Malmo Airport,Work,2008-11-14,Persecution,Permanent Resident,,TRUE
Chen,Kim,Female,1986-11-17,Pakistan,United States,Boston,BOS,Family,2016-03-18,Persecution,Citizen,2025-05-09,TRUE
Maria,Jones,Male,1975-06-26,Colombia,United Kingdom,Cardiff,Stansted,Family,2004-04-13,Study,Citizen,2014-11-22,FALSE
Zoe,Khan,Female,2006-10-12,Colombia,Spain,Valladolid,Palma de Mallorca,Work,2025-09-26,Study,Departed,,FALSE
Nina,Hassan,Male,1991-01-25,Mexico,Canada,Hamilton,Ottawa Intl,Student,2013-03-08,Work,Citizen,2018-02-21,FALSE
Omar,Perez,Female,1973-08-10,Morocco,Italy,Turin,Malpensa,Diversity,2001-12-22,Conflict/War,Temporary Resident,,TRUE
Priya,Costa,Female,1995-04-14,Vietnam,Canada,Montreal,Ottawa Intl,Family,2022-09-12,Economic Opportunity,Citizen,2030-09-13,FALSE
Leila,Rodriguez,Male,1981-04-20,Malaysia,United States,San Francisco,MIA,Family,2006-02-18,Persecution,Permanent Resident,,TRUE
Ava,Zhang,Female,2004-05-01,Romania,France,Nantes,CDG,Family,2023-09-13,Family Reunification,Permanent Resident,,FALSE
Mia,Nguyen,Male,2007-11-14,Mexico,United Kingdom,Birmingham,Edinburgh Airport,Work,2025-11-09,Family Reunification,Citizen,2033-09-08,FALSE
Hiro,Rossi,Male,1989-05-24,Germany,France,Lyon,Lyon–Saint-Exupéry,Student,2023-06-19,Work,Temporary Resident,,FALSE
Igor,Kim,Female,1953-02-15,Ethiopia,United Kingdom,Bristol,Manchester Airport,Student,2015-11-14,Study,Temporary Resident,,FALSE
Amina,Miller,Male,1951-10-04,Bangladesh,Spain,Valladolid,Valencia Airport,Work,2003-06-09,Work,Permanent Resident,,FALSE
Maria,Rodriguez,Male,2002-06-06,Ukraine,France,Toulouse,Lyon–Saint-Exupéry,Student,2022-03-02,Study,Temporary Resident,,FALSE
Sofia,Chen,Female,1953-06-22,Cuba,Canada,Vancouver,Pearson Intl,Family,2015-08-19,Work,Permanent Resident,,FALSE
Amina,Abdul,Male,1954-04-15,Philippines,Canada,Montreal,Vancouver Intl,Work,2008-10-06,Study,Permanent Resident,,FALSE
Elena,Park,Male,1993-10-25,Romania,Sweden,Helsingborg,Arlanda,Skilled Worker,2024-09-05,Economic Opportunity,Temporary Resident,,FALSE
Aria,Silva,Male,1979-11-18,Morocco,Australia,Melbourne,Adelaide Airport,Asylum,2023-04-16,Family Reunification,Temporary Resident,,TRUE
Chen,Singh,Male,2007-03-23,Argentina,United States,Los Angeles,BOS,Work,2025-06-16,Work,Temporary Resident,,FALSE
Ahmed,Moretti,Male,1988-02-12,Germany,Netherlands,Nijmegen,Rotterdam The Hague,Work,2012-10-12,Economic Opportunity,Temporary Resident,,FALSE
Liam,Rodriguez,Male,1973-07-05,Morocco,Netherlands,Tilburg,Schiphol,Family,2010-10-01,Work,Permanent Resident,,FALSE
Hiro,Sanchez,Male,1992-01-16,Greece,United States,Houston,ORD,Humanitarian,2025-01-13,Study,Temporary Resident,,FALSE
Ava,Singh,Male,1999-05-29,Pakistan,United Kingdom,Birmingham,Edinburgh Airport,Family,2019-03-09,Study,Permanent Resident,,FALSE
David,Perez,Female,1978-03-09,Russia,United States,Boston,DFW,Family,2019-11-01,Family Reunification,Temporary Resident,,FALSE
Isabella,Li,Female,1986-12-18,Turkey,France,Nantes,Orly,Student,2014-09-03,Conflict/War,Citizen,2021-04-15,TRUE
Priya,Hernandez,Female,1982-01-04,Syria,United Kingdom,Liverpool,Gatwick,Student,2010-12-17,Work,Departed,,FALSE
Ava,Jones,Female,1990-11-24,Spain,Canada,Edmonton,Calgary Intl,Asylum,2022-04-14,Work,Temporary Resident,,TRUE
Ibrahim,Moretti,Female,1978-01-21,Italy,United Kingdom,Birmingham,Stansted,Family,2016-05-26,Work,Citizen,2027-01-05,FALSE
Igor,Park,Male,1992-12-20,Turkey,Spain,Palma,Valencia Airport,Diversity,2015-11-22,Family Reunification,Permanent Resident,,FALSE
Fatima,Hassan,Female,1991-07-02,India,Netherlands,Breda,Eindhoven Airport,Student,2015-08-23,Persecution,Temporary Resident,,TRUE
Ethan,Gonzalez,Female,1959-10-01,El Salvador,France,Lille,Orly,Student,2008-12-09,Family Reunification,Permanent Resident,,FALSE
Aria,Costa,Male,2006-04-01,Poland,Spain,Valencia,Madrid–Barajas,Family,2024-08-25,Conflict/War,Citizen,2036-05-09,TRUE
Anita,Brown,Female,1995-08-28,Egypt,Netherlands,Eindhoven,Schiphol,Family,2015-12-21,Family Reunification,Permanent Resident,,FALSE
Chen,Li,Female,1975-11-10,Iran,Australia,Perth,Brisbane Airport,Family,2005-08-24,Work,Permanent Resident,,FALSE
Raj,Kumar,Male,1973-09-24,Bulgaria,Spain,Zaragoza,Malaga–Costa del Sol,Student,2017-10-15,Work,Citizen,2028-09-17,FALSE
Elena,Zhang,Male,1997-02-24,Guatemala,United Kingdom,Liverpool,Gatwick,Work,2025-01-13,Persecution,Permanent Resident,,TRUE
Isabella,Bauer,Male,1987-11-01,South Korea,France,Lille,Marseille Provence,Family,2011-05-04,Persecution,Permanent Resident,,TRUE
Alex,Rodriguez,Female,1965-12-08,Ethiopia,Spain,Barcelona,Malaga–Costa del Sol,Skilled Worker,2021-03-19,Family Reunification,Citizen,2025-07-04,FALSE
Raj,Sanchez,Male,1964-05-12,Thailand,Germany,Dusseldorf,HAM,Humanitarian,2024-08-09,Persecution,Citizen,2030-09-08,TRUE
Omar,Rossi,Female,2004-03-19,Poland,Canada,Toronto,Calgary Intl,Skilled Worker,2024-06-12,Family Reunification,Temporary Resident,,FALSE
Yuki,Perez,Female,1988-06-18,Portugal,Australia,Brisbane,Melbourne Airport,Skilled Worker,2010-10-29,Study,Temporary Resident,,FALSE
Anita,Costa,Male,1950-11-01,Guatemala,Germany,Leipzig,FRA,Family,2022-03-23,Work,Permanent Resident,,FALSE
Alex,Chen,Female,1998-07-01,United Kingdom,Sweden,Norrkoping,Arlanda,Work,2018-04-24,Work,Citizen,2026-09-02,FALSE
Priya,Brown,Male,1983-03-29,Iraq,Spain,Zaragoza,Palma de Mallorca,Student,2009-04-01,Persecution,Permanent Resident,,TRUE
Anita,Williams,Male,1956-12-05,Guatemala,Canada,Vancouver,Ottawa Intl,Family,2001-11-09,Persecution,Permanent Resident,,TRUE
